"userid","total_deposited","total_stakes","play_ratio_pct"
63178,2206.00,0,0.00
17970,2190.00,453.76,20.72
18124,2188.04,212.56,9.71
32686,2185.00,55.21,2.53
29911,2179.74,489.78,22.47
71068,2170.00,8.84,0.41
70389,2160.00,8.76,0.41
10683,2158.42,111.73,5.18
26970,2145.10,0,0.00
976,2130.67,656.39,30.81
48467,2125.00,448.85,21.12
33951,2122.00,0,0.00
57788,2105.00,0,0.00
29850,2100.00,182.70,8.70
17696,2080.00,14.60,0.70
44534,2079.68,157.32,7.56
15735,2078.73,15.82,0.76
35825,2065.66,201.23,9.74
63540,2060.40,7.33,0.36
9529,2051.71,1.00,0.05
6661,2030.00,1.93,0.10
58634,2021.43,101.10,5.00
48097,2013.50,0,0.00
4691,2010.00,17.40,0.87
16574,2008.90,25.52,1.27
14503,2003.85,0,0.00
9482,2000.00,364.74,18.24
49675,2000.00,0,0.00
65254,2000.00,28.54,1.43
40490,1997.00,73.68,3.69
60174,1994.52,980.91,49.18
12665,1990.29,0,0.00
1479,1980.72,778.46,39.30
25432,1975.22,298.87,15.13
3309,1972.32,46.73,2.37
9937,1970.00,3.38,0.17
27888,1965.00,26.63,1.36
38007,1962.04,4.70,0.24
68506,1961.66,0,0.00
24870,1958.64,0,0.00
68831,1950.00,675.55,34.64
55644,1934.00,777.22,40.19
63063,1915.62,712.07,37.17
35576,1898.98,121.05,6.37
28570,1890.00,3.56,0.19
71229,1885.00,33.85,1.80
4794,1880.00,27.75,1.48
54067,1858.00,0,0.00
53059,1852.40,55.09,2.97
57271,1845.00,78.01,4.23
65368,1835.18,0,0.00
53426,1824.00,2.52,0.14
10315,1820.00,354.07,19.45
50169,1817.00,84.20,4.63
6039,1798.00,734.35,40.84
55233,1797.00,0,0.00
28395,1784.00,641.94,35.98
57197,1778.20,0.16,0.01
986,1770.05,76.28,4.31
27620,1770.00,197.96,11.18
28008,1766.00,256.22,14.51
65981,1740.00,79.39,4.56
3416,1733.00,119.26,6.88
51623,1696.80,0,0.00
598,1695.00,13.36,0.79
5537,1693.20,0,0.00
49546,1691.35,22.79,1.35
16194,1683.90,32.79,1.95
28301,1671.50,10.82,0.65
67016,1661.70,33.51,2.02
33919,1655.31,327.08,19.76
69137,1655.00,0,0.00
33214,1655.00,0,0.00
59227,1648.10,70.28,4.26
47161,1644.02,128.34,7.81
68678,1638.00,469.65,28.67
41077,1635.00,0,0.00
21783,1634.31,2.63,0.16
55668,1628.00,0,0.00
72414,1622.27,168.92,10.41
66438,1620.00,0,0.00
46796,1614.12,3.06,0.19
63265,1608.53,0,0.00
55187,1603.02,124.29,7.75
