"UserID","Date","Trnmnts","StakesT","WinningsT"
38,2018-04-18,5,7.11264,5.76287
38,2018-04-19,10,11.55554,3.42604
38,2018-04-20,3,4.44847,7.05285
38,2018-04-21,4,8.89694,10.14251
38,2018-04-22,8,27.58052,33.63043
38,2018-05-04,6,12.85325,3.65566
38,2018-05-05,9,14.68944,3.5722
38,2018-05-06,11,20.19797,37.5999
38,2018-05-07,3,8.27829,10.48584
38,2018-05-08,2,2.76522,0
38,2018-05-10,14,48.17523,19.71421
38,2018-05-11,2,2.77554,5.99686
38,2018-05-12,2,6.47626,0
38,2018-05-16,1,1.85105,0
38,2018-05-17,3,7.43855,0
38,2018-05-19,1,0.93187,0
38,2018-05-25,5,8.44717,8.36183
38,2018-05-26,1,1.87715,0
38,2018-05-27,2,6.57001,0
38,2018-07-04,1,1.89107,0
38,2018-07-06,5,7.53144,3.66302
38,2018-07-07,1,1.88286,0
38,2018-07-08,4,4.70715,1.81439
38,2018-07-21,1,1.89019,0
38,2018-07-22,3,5.67057,0
38,2018-07-23,1,1.89019,0
38,2018-07-28,2,2.82243,8.25345
38,2018-07-29,3,5.64486,3.6606
38,2018-07-30,5,8.48553,8.32305
38,2018-07-31,2,3.7754,3.67244
38,2018-08-03,1,0.94662,1.82439
38,2018-08-05,3,2.83986,1.82439
38,2018-08-08,2,1.90392,3.66938
38,2018-08-10,2,3.7915,6.48863
38,2018-11-16,1,0.97353,1.87626
38,2018-12-12,7,7.71991,8.95682
38,2018-12-13,4,4.84775,12.36619
38,2018-12-14,12,36.84291,31.52803
38,2018-12-15,5,4.83915,0.21996
38,2018-12-16,5,8.71043,14.62296
38,2018-12-17,6,11.68092,4.43344
38,2018-12-18,5,10.67892,2.17991
38,2018-12-19,2,2.904,3.1768
38,2018-12-20,4,9.65284,0
38,2018-12-22,3,11.54724,0
38,2018-12-23,12,40.41534,62.26763
38,2018-12-24,5,13.54942,7.97128
38,2018-12-25,7,25.09167,0
38,2018-12-27,2,9.66024,33.3893
38,2018-12-28,5,12.54117,18.99595
38,2018-12-29,4,10.61176,4.3938
38,2018-12-30,6,22.18824,21.5305
38,2018-12-31,16,82.70736,27.80225
38,2019-01-01,1,4.80857,0
38,2019-01-09,2,6.72732,0
38,2019-02-08,2,3.86478,3.17088
38,2019-02-09,4,7.75332,11.75332
38,2019-02-10,2,6.78415,0
38,2019-02-11,2,3.88227,3.18062
38,2019-02-12,3,5.83463,0
38,2019-02-19,1,0.97234,0
38,2019-02-23,3,2.91018,4.80619
38,2019-02-24,4,5.82034,3.27174
38,2019-03-06,5,18.42278,20.22982
38,2019-03-09,1,0.96962,1.53376
38,2019-03-13,3,11.63544,9.50228
38,2019-03-14,1,4.8481,0
38,2019-03-16,1,1.94502,3.78395
38,2019-03-17,4,10.69762,9.58366
38,2019-03-18,1,4.85739,9.52048
38,2019-03-19,6,29.12532,24.89632
38,2019-03-20,2,9.6925,18.99728
38,2019-03-21,4,24.23124,0
38,2019-03-29,5,19.55074,0
38,2019-04-04,13,45.04511,52.52298
38,2019-04-05,3,10.77652,1.88812
38,2019-04-07,15,83.27312,67.76736
38,2019-04-09,1,1.96218,0
38,2019-04-10,3,7.84871,5.70814
38,2019-04-11,4,13.66821,34.4191
38,2019-04-12,3,8.78668,3.79821
38,2019-04-13,10,31.23764,5.67957
38,2019-04-17,3,10.70113,0
38,2019-04-18,12,58.42899,39.02354
38,2019-04-21,14,52.76295,70.91909
38,2019-04-22,8,40.08266,49.68895
38,2019-04-23,3,14.67984,26.50379
38,2019-04-24,1,4.88902,0
38,2019-04-30,1,4.93552,17.05897
38,2019-05-04,6,17.69158,31.80909
38,2019-05-05,9,14.74299,13.42057
38,2019-05-06,1,1.96573,0
38,2019-05-11,5,15.70761,24.30219
38,2019-05-12,7,25.52487,26.58694
38,2019-05-13,2,14.7259,19.24184
38,2019-05-14,4,15.67103,20.88023
38,2019-05-15,6,23.50066,18.23081
38,2019-05-16,3,19.58388,50.80236
38,2019-05-18,3,19.65487,0
38,2019-05-19,1,4.91372,16.98359
38,2019-05-23,16,85.75971,107.31161
38,2019-05-24,2,19.71486,38.64114
38,2019-05-25,1,9.86035,0
38,2019-06-02,2,9.87962,11.37952
38,2019-06-09,6,23.45674,9.06283
38,2019-06-10,1,9.71067,22.38752
38,2019-06-14,5,14.59724,0
38,2019-06-15,1,4.8735,0
38,2019-06-16,7,34.1145,29.88785
38,2019-06-18,5,21.58003,22.93914
38,2019-06-19,7,25.50589,13.85239
38,2019-06-20,5,18.64672,9.61714
38,2019-06-24,3,10.64356,0
38,2019-06-27,2,9.67856,0
38,2019-08-17,3,6.28977,0
38,2019-08-18,1,4.49269,0
38,2019-08-20,1,4.50777,16.8771
38,2019-09-04,2,9.13058,0
38,2019-09-08,5,13.5882,14.27667
38,2019-09-09,1,4.5294,11.34162
38,2019-09-15,3,13.59834,17.73224
38,2019-09-17,3,10.86747,4.46243
38,2019-09-21,1,0.90522,1.73802
38,2019-09-26,1,1.82204,0
38,2019-09-29,3,10.05523,0
38,2019-10-01,3,10.0767,0
38,2019-10-05,1,1.82403,0
38,2019-10-06,6,21.88838,15.47691
38,2019-10-07,2,5.4721,3.31062
38,2019-10-11,3,5.45124,0
38,2019-10-12,1,1.81708,3.54331
38,2019-10-13,1,4.54271,0
38,2019-10-14,1,1.81261,0
124,2015-11-24,1,0,0
124,2015-11-25,2,0,0
125,2015-02-01,1,4.42595,0
125,2015-02-07,4,201.9138,0
125,2015-02-08,2,1.31683,0
125,2015-02-09,2,1.75578,0
125,2015-02-11,1,4.41774,0
125,2015-02-13,2,1.7682,1.67978
125,2015-02-20,3,14.91621,11.40651
125,2015-02-21,3,2.19355,6.08932
125,2015-02-25,1,0.88106,0
125,2015-03-09,5,13.57466,8.43439
125,2015-03-10,4,23.06699,8.76545
125,2015-03-11,2,0.92132,0
125,2015-03-14,3,18.9036,17.50472
154,2015-02-01,2,61.96336,32.22094
194,2016-09-21,1,10,10.22
194,2016-09-22,3,26,0
194,2016-09-23,4,9,5
194,2016-09-25,1,0,0
194,2016-10-04,10,24,4
199,2015-02-01,4,50,14
199,2015-02-08,3,11,0
199,2015-02-15,1,1,0
208,2015-02-02,1,1,0
208,2015-02-04,2,2,0
227,2020-02-29,1,0,0.06
227,2020-03-01,4,0,0
227,2020-03-02,5,0,0
227,2020-03-03,4,0,0
227,2020-03-13,2,0,0
227,2020-03-15,2,0,0
227,2020-03-16,4,0,0
227,2020-03-18,2,0,0
227,2020-03-20,4,0,0
227,2020-03-21,2,0,0
227,2020-03-22,3,0,0.03
227,2020-03-24,4,0,0
227,2020-03-25,3,0,0
227,2020-03-26,4,0,0
227,2020-03-27,3,0,0
227,2020-03-28,4,0,0
227,2020-03-29,3,0,0
227,2020-06-22,1,0,0
227,2020-06-23,1,0,0
239,2015-02-01,1,0.5,0
239,2015-02-23,2,1.5,0
279,2015-02-01,9,8.6,6.57
279,2015-02-02,6,13,4.53
279,2015-02-03,5,4,3.13
279,2015-02-04,4,4,0
279,2015-02-08,1,0,0
281,2015-05-30,3,5.95456,27.48259
281,2015-05-31,2,36.64345,0
281,2015-06-28,1,4.46389,0
281,2015-07-19,2,11.91567,22.27314
281,2015-07-26,1,4.55996,45.14364
281,2015-08-02,1,16.43535,0
281,2015-08-09,1,9.16674,61.87552
281,2015-08-16,1,4.58337,14.72179
281,2015-08-17,1,3.60166,0
281,2015-08-18,1,3.60653,0
281,2015-08-19,1,3.61762,18.08809
281,2015-08-23,2,22.56958,18.08809
281,2015-08-24,1,3.51401,4.56822
281,2015-08-26,1,3.47403,0
281,2015-08-30,2,30.99265,0
281,2015-08-31,1,3.5775,1.431
281,2015-09-02,1,3.55082,0
281,2015-09-06,3,17.87789,0
281,2015-09-07,2,3.59034,0
281,2015-09-08,1,3.59034,17.95171
281,2015-09-13,2,17.81896,0
281,2015-09-30,1,0,0
281,2015-10-04,2,35.81661,0
281,2015-10-20,1,3.5264,0
281,2015-10-27,1,3.62549,18.12744
281,2015-11-01,3,27.41228,0
281,2015-11-18,1,0,0
281,2015-11-19,1,4.69484,0
281,2015-11-21,1,4.6729,0
281,2015-11-22,3,37.89719,0
281,2015-12-05,1,2.80767,0
281,2015-12-06,4,18.53065,1.94665
281,2015-12-12,1,4.55456,25.50556
281,2015-12-13,1,9.10913,0
281,2015-12-19,1,9.21659,0
281,2015-12-20,1,18.43318,0
281,2016-02-24,1,4.53605,0
281,2016-02-28,2,36.28973,0
281,2016-05-22,2,35.67701,0
281,2016-05-29,1,8.94654,0
281,2016-06-05,2,8.94126,5.36476
281,2016-06-12,1,8.79972,0
281,2016-06-19,1,8.90163,0
281,2016-06-26,2,28.18614,0
281,2016-07-03,2,29.71956,17.11126
281,2016-07-10,2,24.81905,117.3264
281,2016-07-14,7,21.25316,4.96569
281,2016-07-16,8,12.20487,19.80145
281,2016-07-17,12,53.17586,161.5618
281,2016-07-18,2,0.47143,0
281,2016-07-21,4,9.99068,0
281,2016-07-24,2,29.9176,0
281,2016-07-25,1,0.00907,0
281,2016-07-31,1,9.51923,0
281,2016-08-01,1,0.00907,0
281,2016-08-07,2,24.68914,0
281,2016-08-28,1,19.50873,128.56256
281,2016-09-04,3,5.84099,4.92721
281,2016-09-11,1,9.76822,0
281,2016-09-12,2,0,0
281,2016-09-18,4,44.48378,0
281,2016-09-21,2,9.84392,19.68786
281,2016-09-24,13,42.35545,28.98008
281,2016-09-25,6,30.33544,116.81201
281,2016-09-26,2,0.45449,0
281,2016-10-01,6,8.03791,26.73369
281,2016-10-09,2,136.79279,0
281,2016-10-14,1,4.98911,19.95646
281,2016-10-23,1,40.14964,0
281,2016-10-30,1,5.04254,0
281,2016-11-20,2,48.63768,0
281,2016-12-03,1,5.18227,0
281,2017-06-20,1,4.91774,7.73426
281,2020-04-19,1,18.40514,0
281,2020-05-06,1,5.06142,0.62578
281,2020-05-07,1,5.08665,0
281,2020-05-17,4,61.10368,0
281,2020-06-14,1,29.07536,0
281,2020-06-28,2,34.28894,0
281,2020-07-05,2,9.7724,0
281,2020-07-12,4,41.78123,1.81965
281,2020-07-26,2,33.22835,0
284,2015-02-05,3,4.89224,4.36719
284,2015-02-06,1,4.38943,0
292,2016-02-17,3,0.30368,0
374,2015-02-01,2,3.54076,0
374,2015-02-02,1,1.77038,0
374,2015-02-03,2,2.20829,0
374,2015-10-05,3,5.35332,11.56317
374,2015-10-06,3,8.02067,5.77489
374,2015-10-07,3,5.34951,5.77746
374,2015-10-08,3,7.99716,8.08601
374,2015-10-09,5,18.64014,3.83455
374,2015-10-10,3,5.32575,0
374,2015-10-17,1,1.74871,0
374,2015-10-18,1,1.74871,0
385,2015-02-01,2,8.8519,0.88519
429,2015-02-08,6,18.4356,11.34229
429,2015-02-09,13,35.11543,16.72373
429,2015-02-11,4,12.36202,0
429,2015-02-15,2,2.204,0
429,2015-02-16,27,46.14591,33.34503
429,2015-02-17,8,13.6156,33.14301
429,2015-02-18,14,33.40368,31.26759
429,2015-02-19,8,18.44633,18.09959
429,2015-02-20,7,19.30333,3.79047
429,2015-02-22,9,16.23235,30.3852
429,2015-02-23,6,13.01098,0
429,2015-02-24,4,7.92758,0
